TransactionID,AccountID,TransactionType,Amount,TransactionDate
146497,1097,Credit,295479.53,2021-08-18
144858,1400,Debit,394924.27,2024-02-29
180399,1098,Debit,544048.57,2022-12-24
184200,1442,Credit,132754.39,2021-10-28
123793,299,Credit,176415.25,2022-08-16
162356,586,Credit,934785.82,2024-01-19
134072,170,Debit,703454.41,2022-06-25
170020,87,Debit,778354.33,2024-01-29
119173,1111,Debit,477573.62,2023-11-24
152197,1037,Debit,293163.55,2020-03-05
167139,56,Debit,566075.7,2021-05-24
153576,1418,Credit,18087.33,2021-04-09
102968,45,Credit,312500.64,2019-11-22
171107,1120,Credit,410886.77,2023-06-14
185698,1299,Debit,39369.87,2020-10-05
145570,1409,Credit,231685.3,2023-04-23
155794,626,Debit,477266.3,2019-06-12
189620,283,Debit,604112.67,2021-04-03
128851,401,Debit,305057.57,2022-08-21
137437,315,Debit,34417.12,2022-09-22
177230,295,Credit,209481.2,2019-12-31
119147,1400,Debit,46579.02,2020-12-07
148975,622,Debit,364385.28,2023-10-14
195825,983,Debit,757442.97,2019-09-11
197829,1368,Debit,934745.92,2023-12-05
117255,1103,Debit,647420.2,2022-11-21
100603,1392,Credit,850159.68,2021-04-24
126678,306,Credit,734244.63,2023-06-12
169181,369,Credit,405774.83,2021-03-30
144024,175,Debit,903148.1,2022-12-16
144084,91,Debit,301374.59,2024-03-11
101136,1147,Credit,908975.82,2019-04-07
160219,331,Credit,947108.3,2020-01-30
184554,988,Credit,418137.95,2019-05-17
154230,184,Debit,711160.0,2023-04-28
108817,50,Credit,22928.56,2023-11-29
196074,859,Debit,107142.58,2020-12-29
189156,1194,Credit,106832.28,2021-07-12
191940,1039,Debit,791346.47,2020-04-04
183337,1109,Debit,397922.74,2022-08-06
156690,186,Credit,246347.59,2023-08-17
140410,1398,Debit,83804.31,2020-07-03
121207,1476,Credit,301588.2,2021-12-20
171890,179,Credit,951551.61,2021-07-04
131242,598,Credit,938452.01,2023-10-19
188885,1383,Debit,83523.85,2020-10-04
193483,546,Debit,757489.4,2023-04-19
112920,859,Debit,607375.42,2022-01-05
113915,126,Credit,345037.51,2022-03-22
171124,669,Credit,747912.28,2022-12-18
123478,991,Debit,894770.84,2023-11-17
164187,557,Credit,896795.41,2019-07-29
175670,532,Debit,870224.01,2020-05-02
144045,1098,Debit,173876.71,2021-11-27
153238,343,Debit,722733.44,2020-07-19
122678,455,Credit,134515.09,2023-11-22
151539,555,Credit,701124.98,2020-04-10
182972,762,Credit,668695.66,2023-04-16
